iter	Passed	Remaining
521	690	632
522	692	631
523	692	629
524	693	627
525	694	521	692	633
522	692	631
523	693	630
524	694	627
525	694	625
526	694	623
527	695	621
528	695	619
529	696	617
530	697	615
531	698	614
532	698	612
533	699	610
534	700	608
535	701	607
536	702	605
537	704	604
538	705	603
539	707	602
540	708	601
541	711	600
542	713	600
543	715	599
544	716	598
545	717	596
546	718	594
547	718	593
548	719	590
549	719	588
550	720	586
551	721	585
552	723	584
553	724	583
554	725	581
555	726	580
556	728	579
557	730	578
558	731	577
559	733	575
560	735	575
561	736	574
562	738	572
563	739	571
564	742	571
565	743	570
566	745	569
567	746	567
568	747	566
569	748	564
570	749	563
571	753	564
572	755	562
573	756	561
574	758	560
575	758	558
576	759	557
577	760	555
578	762	554
579	763	552
580	764	551
581	765	550
582	767	548
583	768	547
584	769	545
585	770	544
586	772	543
587	773	541
588	775	541
589	776	539
590	777	538
591	778	536
592	779	535
593	780	533
594	781	532
595	782	530
596	783	528
597	784	527
598	786	526
599	788	525
600	789	524
601	791	523
602	793	522
603	794	521
604	796	520
605	798	518
606	799	517
607	801	516
608	803	515
609	804	514
610	805	512
611	807	511
612	808	510
613	809	509
614	811	507
615	812	506
616	814	505
617	815	503
618	816	502
619	817	501
620	819	500
621	820	498
622	821	496
623	821	495
624	822	493
625	824	492
626	825	490
627	826	489
628	828	488
629	830	487
630	832	486
631	834	485
632	835	484
633	836	483
634	842	484
635	843	482
636	844	481
637	850	482
638	851	480
639	852	479
640	853	478
641	854	476
642	855	475
643	856	473
644	858	472
645	859	471
646	860	469
647	861	467
648	861	466
649	862	464
650	863	462
651	864	461
652	864	459
653	865	457
654	866	456
655	866	454
656	867	453
657	868	451
658	868	449
659	869	448
660	872	447
661	873	446
662	876	445
663	878	444
664	879	442
665	880	441
666	883	441
667	884	439
668	885	438
669	888	437
670	889	436
671	891	435
672	892	433
673	893	432
674	895	430
675	896	429
676	898	428
677	900	427
678	901	426
679	903	425
680	905	424
681	907	422
682	908	421
683	909	420
684	910	418
685	911	417
686	913	416
687	914	414
688	916	413
689	917	412
690	919	411
691	921	410
692	922	408
693	924	407
694	925	406
695	926	404
696	927	403
697	929	402
698	932	401
699	934	400
700	936	399
701	937	398
702	938	396
703	940	395
704	941	393
705	942	392
706	943	391
707	946	390
708	947	388
709	947	387
710	948	385
711	950	384
712	951	382
713	952	381
714	954	380
715	955	378
716	958	378
717	959	376
718	960	375
719	962	374
720	963	372
721	964	371
722	965	369
723	966	368
724	967	366
725	969	365
726	970	364
727	972	363
728	973	362
729	975	360
730	976	359
731	978	358
732	979	356
733	990	358
734	991	357
735	998	358
736	999	356
737	1001	355
738	1004	354
739	1005	353
740	1006	351
741	1007	350
742	1008	348
743	1008	347
744	1009	345
745	1010	344
746	1011	342
747	1014	341
748	1016	340
749	1017	339
750	1018	337
751	1020	336
