iter	RMSE
0	67.26415884
1	66.82262146
2	66.46840581
3	66.03483892
4	65.6067829
5	65.19078462
6	64.78100236
7	64.36069324
8	64.03828871
9	63.6343408
10	63.61644002
11	63.21036558
12	62.82316288
13	62.43736474
14	62.14532071
15	61.73011839
16	61.42246264
17	61.10983419
18	60.72608873
19	60.42886753
20	60.12895806
21	59.74783258
22	59.38656086
23	59.03132152
24	58.67352884
25	58.32833762
26	57.98401404
27	57.62305179
28	57.2654258
29	56.90002608
30	56.53555112
31	56.1949342
32	56.17486684
33	56.08540831
34	55.72716226
35	55.39554791
36	55.03533397
37	54.71180097
38	54.65287351
39	54.32577901
40	54.01218654
41	53.69959882
42	53.65090581
43	53.60131781
44	53.36328851
45	53.05621345
46	52.72494573
47	52.41036964
48	52.10459096
49	51.77374732
50	51.54274414
51	51.25770543
52	50.94777477
53	50.65132303
54	50.34934494
55	50.07037337
56	49.75286765
57	49.48089649
58	49.40208624
59	49.34217866
60	49.06385046
61	48.79080098
62	48.5055722
63	48.25475116
64	48.23133249
65	47.97140004
66	47.92563465
67	47.87730711
68	47.76139922
69	47.5499307
70	47.28994702
71	47.03433962
72	47.02433188
73	47.01452389
74	46.81634563
75	46.54767539
76	46.31320417
77	46.26571797
78	46.07077465
79	45.81042415
80	45.76600285
81	45.5400542
82	45.52482727
83	45.33264611
84	45.09526528
85	44.86086139
86	44.6326703
87	44.40392342
88	44.17866086
89	43.999461
90	43.98723266
91	43.89594677
92	43.66855754
93	43.44819572
94	43.2189691
95	43.2058434
96	43.00355791
97	42.80114042
98	42.63861495
99	42.43008964
100	42.23165251
101	42.22068475
102	42.00443748
103	41.86281094
104	41.65752468
105	41.56919401
106	41.37466608
107	41.16757241
108	40.96225203
109	40.76354993
110	40.70295251
111	40.50706858
112	40.4726131
113	40.28768403
114	40.09290609
115	39.98982004
116	39.83404456
117	39.819941
118	39.75849501
119	39.57121267
120	39.35218954
121	39.17869919
122	38.996909
123	38.81849447
124	38.8095377
125	38.60320073
126	38.55122289
127	38.36419483
128	38.18742183
129	38.12419966
